id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,0.0000,51.9319,62.6803,38.7116,207.2063,56.6101,235.0805,62.5186,67.9515,103.4434,187.4283,147.5097,140.7585,203.1373,183.4068,334.0627,355.9302,256.4539,348.6137,364.3890,297.2963,379.5705,325.6799,350.6324,273.6379,326.1255,351.3222,406.2238,416.2692,428.9397,442.0646,445.3730,457.1418,514.1142,473.9094,474.0037
2,51.9319,0.0000,14.2965,23.9385,258.7032,103.5146,285.8735,87.0144,100.5411,96.9570,231.8629,172.2579,145.8733,237.8541,168.2410,375.8620,398.1247,284.2502,388.1826,405.0779,330.0635,419.5198,360.5685,387.6244,286.8465,346.6875,363.0339,408.2035,415.5234,425.9607,452.0371,445.5415,452.8348,539.3812,470.9235,474.7622
3,62.6803,14.2965,0.0000,27.7153,267.5797,110.4225,293.8846,87.8139,102.8818,88.8210,236.2310,170.3982,139.2166,238.4278,156.7616,378.5589,400.9442,282.2894,389.9294,407.2430,329.4997,421.3525,360.6348,388.3795,280.7828,342.3277,356.2887,399.0902,405.8232,415.7919,444.6497,435.9755,442.3649,535.9415,460.6832,465.2719
4,38.7116,23.9385,27.7153,0.0000,240.2722,82.7281,266.2845,63.0784,76.7863,79.3030,209.0734,148.6659,125.5893,213.9231,155.4225,352.3582,374.6663,260.6009,364.4210,381.4181,306.1541,395.7801,336.6300,363.7153,265.4630,324.0197,342.1600,390.0573,398.2546,409.4575,431.7194,428.0244,436.8354,516.1738,454.4902,457.0974
5,207.2063,258.7032,267.5797,240.2722,0.0000,158.7135,33.8316,198.3232,181.0758,252.3357,93.3483,189.2166,243.3511,157.0447,313.5778,188.3008,203.8058,215.4495,213.9507,220.1931,215.1797,237.4533,223.5312,230.7549,288.2593,294.7911,351.0335,433.5328,452.2087,471.3333,433.1376,474.0829,500.9643,430.4815,511.0288,497.0905
6,56.6101,103.5146,110.4225,82.7281,158.7135,0.0000,183.7121,47.2409,35.6585,105.9684,130.8182,106.2581,122.4624,150.4190,182.1972,277.6120,299.4113,207.8184,292.6620,308.1267,244.7104,323.4714,271.7261,295.6016,237.3544,282.1324,314.6558,377.8731,390.4623,405.1906,405.7078,418.2370,434.3457,465.0653,449.5573,445.9326
7,235.0805,285.8735,293.8846,266.2845,33.8316,183.7121,0.0000,219.6377,202.0714,270.5651,92.5505,197.6461,255.6473,152.8953,326.0714,159.1339,173.1477,205.3180,185.8346,190.3513,196.9206,207.5340,200.9159,204.6146,283.3200,281.6016,340.9435,425.6939,445.3624,465.1512,419.5168,465.6486,494.4861,405.6580,503.3098,487.3595
8,62.5186,87.0144,87.8139,63.0784,198.3232,47.2409,219.6377,0.0000,17.6111,58.7580,151.2310,87.0880,81.2377,150.9291,135.7223,291.0317,313.4765,198.4000,302.1161,319.4861,243.1221,333.5420,273.5608,300.8146,211.1311,264.9336,288.8053,344.8323,355.6185,369.0108,379.5525,384.3655,397.6177,455.0884,413.8350,412.7723
9,67.9515,100.5411,102.8818,76.7863,181.0758,35.6585,202.0714,17.6111,0.0000,73.5209,134.3684,79.7816,86.9707,137.9337,147.1711,275.7216,298.0834,188.7575,287.6477,304.6434,231.2665,318.9978,260.8665,287.3294,208.2761,258.3964,285.9995,345.7132,357.5182,371.7043,377.0359,385.7412,400.6611,446.2919,416.2880,413.7802
10,103.4434,96.9570,88.8210,79.3030,252.3357,105.9684,270.5651,58.7580,73.5209,0.0000,192.2483,98.4396,51.6362,173.3182,80.3082,319.2883,341.8416,204.8297,325.7785,344.7831,256.4104,357.0857,289.5551,319.7687,192.9817,257.2249,267.7322,311.3353,319.0898,330.1571,355.8359,348.9574,357.5529,452.1852,375.1886,378.1021
