supply_percentile,loss_percentile,feasible,meets_gap,provider_count,provider_count_a,provider_count_b,provider_count_c,baseline_cost,optimized_cost,cost_saving_rate,baseline_transport_loss,optimized_transport_loss,transport_loss_reduction_rate,primary_mip_gap,secondary_mip_gap,error
0.9,0.5,False,,,,,,,,,,,,,,B 类供应商的有效供货能力无法满足需求
0.9,0.75,False,,,,,,,,,,,,,,B 类供应商的有效供货能力无法满足需求
0.9,0.9,False,,,,,,,,,,,,,,B 类供应商的有效供货能力无法满足需求
0.95,0.5,True,True,10,2,2,6,291294.767,291294.767,0,950.210,526.593,0.4458,0.00277,0.00011,
0.95,0.75,True,True,10,2,2,6,292326.594,292326.594,0,1917.769,1232.196,0.3575,0.00368,0.00002,
0.95,0.9,True,True,10,2,2,6,294960.953,294960.953,0,4161.757,3251.063,0.2188,0.00466,0.00350,
0.975,0.5,True,True,8,2,2,4,293253.033,293253.033,0,1319.570,536.128,0.5937,0.00444,0,
0.975,0.75,True,False,8,2,2,4,294897.606,294793.465,0.0004,2774.772,1311.955,0.5272,0.00700,0.00037,
0.975,0.9,True,False,8,2,2,4,297194.312,297194.312,0,4802.335,3320.467,0.3086,0.00717,0,
1.0,0.5,True,True,6,2,2,2,302260.045,302260.045,0,1271.616,803.668,0.3680,0.00469,0,
1.0,0.75,True,True,6,2,2,2,303968.430,302956.840,0.0033,2751.495,1325.634,0.5182,0.00438,0.00452,
1.0,0.9,True,False,6,2,2,2,306187.059,305546.972,0.0021,4650.057,3417.351,0.2651,0.00510,0,
