供应商ID,材料分类,W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W011,W012,W013,W014,W015,W016,W017,W018,W019,W020,W021,W022,W023,W024,W025,W026,W027,W028,W029,W030,W031,W032,W033,W034,W035,W036,W037,W038,W039,W040,W041,W042,W043,W044,W045,W046,W047,W048,W049,W050,W051,W052,W053,W054,W055,W056,W057,W058,W059,W060,W061,W062,W063,W064,W065,W066,W067,W068,W069,W070,W071,W072,W073,W074,W075,W076,W077,W078,W079,W080,W081,W082,W083,W084,W085,W086,W087,W088,W089,W090,W091,W092,W093,W094,W095,W096,W097,W098,W099,W100,W101,W102,W103,W104,W105,W106,W107,W108,W109,W110,W111,W112,W113,W114,W115,W116,W117,W118,W119,W120,W121,W122,W123,W124,W125,W126,W127,W128,W129,W130,W131,W132,W133,W134,W135,W136,W137,W138,W139,W140,W141,W142,W143,W144,W145,W146,W147,W148,W149,W150,W151,W152,W153,W154,W155,W156,W157,W158,W159,W160,W161,W162,W163,W164,W165,W166,W167,W168,W169,W170,W171,W172,W173,W174,W175,W176,W177,W178,W179,W180,W181,W182,W183,W184,W185,W186,W187,W188,W189,W190,W191,W192,W193,W194,W195,W196,W197,W198,W199,W200,W201,W202,W203,W204,W205,W206,W207,W208,W209,W210,W211,W212,W213,W214,W215,W216,W217,W218,W219,W220,W221,W222,W223,W224,W225,W226,W227,W228,W229,W230,W231,W232,W233,W234,W235,W236,W237,W238,W239,W240
S001,C,7.999152,0.999778,0,0,0,0.992908,4.99838,57.984688,109.97206,172.956058,144.975495,82.98506,61.990824,90.996178,175.986976,127.978368,152.948286,88.996262,37.997188,16.88474,34.977355,6.999923,21.97151,6.95254,0,0,0.999514,0,0,0,0,0,12.996568,8.99838,34.996675,21.994412,12.998349,13.998082,4.99979,10.998955,13.995856,14.99841,15.998304,8.999433,9.99989,3.999832,9.99989,2.999937,2.997087,0,0,0,0,0,2.999028,4.99852,15.994592,26.994303,17.997156,28.995708,5.999052,54.990705,32.995116,78.994154,28.997535,40.997827,20.997564,58.995634,86.996346,65.997228,70.954063,51.631216,3.998704,0,0,0,1.99741,0,4.9981,41.990256,189.9658,279.97032,211.955268,163.982616,55.99524,59.99556,191.98368,155.996724,174.99265,119.99616,26.999703,74.999175,147.996892,90.998089,117.998702,31.7288,10.970399,37.985142,0,0,0.999353,0,0,72.977662,386.92647,250.939007,215.965872,162.955175,29.99745,92.996094,167.98572,233.965368,173.948496,104.991075,53.993736,51.99506,56.995155,54.997085,31.999328,21.999076,7.999744,1.999958,0,0,3.99482,0,0.999353,60.864641,254.78172,335.893488,233.925822,168.949976,52.98993,164.98779,193.995926,243.97926,197.98317,88.998131,46.999483,42.997291,74.999175,62.999307,75.999164,53.79021,9.96115,0,0,0,0,0,23.951064,75.876956,208.754843,266.746083,313.681604,173.90256,12.998349,112.990395,268.940282,184.990195,96.993889,96.994859,20.999118,40.999139,29.99904,33.993472,16.989001,0.99322,2.984745,0,0,0,0,0,1.998058,67.87284,241.765018,159.86816,144.9739,83.981352,28.997854,51.99558,247.984376,181.986532,107.993196,64.99792,32.996865,44.999055,58.980884,30.998357,57.981208,37.93559,8.994177,0,0,0,0,0,0.995805,0.997633,2.994357,1.998268,20.993196,5.99892,4.999575,10.999648,9.99926,36.997669,5.999748,4.99979,7.999664,11.999616,29.99967,12.999181,4.99984,3.999916,0,0,0,1.98227,0,0,0,0,0,2.998287,16.994424,7.998144,29.99556,19.99852,8.999334,3.999788,53.997138,19.99978,19.99894,7.999744,17.999424,9.9322,21.97151,10.92542
S002,B,0,0,0,0,0,0,0,0,0,0,0,0.99982,0,0,0,0.999831,1.999324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999788,0,0,0,0,2.999874,0,0,1.999978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999684,1.99945,0,0,3.99966,0.999852,0,0,0,0,0.999915,0.999947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999915,1.99983,0.999979,0,0,1.999978,0,0,0,0,0,0,0,0,0,0,0,0,0.999049,0.998986,0,2.999619,0.999915,2.999334,0,0.999937,0,0,0,0,0,0,0,0.994915,0,0,0,0,0,0,0.99813,0,1.998352,7.99856,0.999778,4.99963,2.999745,0,0,0,0,0.999905,0,0,0.999947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S003,A,36.996078,61.986236,59.97276,64.364105,75.90158,75.461008,64.97894,70.981256,71.981712,79.97968,70.988001,99.982,109.98372,88.996262,25.998076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.999584,15.999824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.996682,24.993125,0,0,0,0,0,32.997195,7.999072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.987272,69.9867,73.994524,78.998341,82.992945,70.993965,61.998698,24.999725,12.999181,1.999978,0,0,0,0,0,0,0,0,0,0,0,0,0,38.960454,60.96584,65.991618,71.99388,75.983128,70.996237,64.995905,57.996926,56.997606,55.998824,56.998176,74.9856,2.998059,0,0,0,0,0,0,0,0,0,0,0.999176,13.99748,13.996892,13.998964,14.998725,16.998929,69.99482,67.995716,67.997824,67.99354,65.998614,62.979588,63.996608,70.976996,69.88135,64.957945,63.96416,66.969582,71.744688,77.949534,82.264205,69.70635,64.846145,71.864568,73.935916,67.977968,67.98776,68.994135,71.997696,71.994672,72.995401,74.99685,73.996892,69.99706,88.997152,114.998735,127.991936,94.99696,83.998236,71.930088,66.973803,78.974404,80.281935,89.94177,100.65761,82.919407,74.8716,80.973756,80.953749,77.974416,79.98144,75.988752,92.993118,83.993784,77.995866,76.995919,78.999131,77.995866,74.9976,73.997632,73.49828,75.90158,80.45082
S004,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99945,0,0,3.99966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.999575,0.999979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999176,0,0.999778,2.999778,1.99983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S005,A,8.999046,93.979132,36.983202,101.002134,24.967625,20.851068,21.992872,14.99604,18.995174,14.99619,15.997296,17.99676,17.997336,16.999286,15.998816,11.997972,19.99324,16.999286,12.999038,17.87796,15.989648,11.999868,14.980575,14.8983,20.95695,119.96952,60.970354,91.510652,22.985119,23.91864,26.99001,21.99582,14.99604,18.99658,17.99829,18.995174,24.996825,22.996849,26.998866,26.997435,20.993784,16.998198,19.99788,10.999307,15.999824,18.999202,21.999758,24.999475,22.977667,145.929044,42.983187,63.319168,25.991576,22.805075,16.994492,15.995264,16.994254,22.995147,15.997472,17.997336,19.99684,21.996282,26.996004,25.998076,22.998045,26.998569,13.998376,22.998298,22.999034,19.99916,20.986413,29.78724,27.990928,128.941434,68.955357,131.297892,27.96374,17.776602,17.99316,16.996056,14.9973,17.998092,20.995569,12.998622,20.998215,12.999038,11.99898,14.999685,14.99937,19.99936,11.999868,18.999791,18.999601,15.999664,17.999802,16.855925,23.935416,124.951125,52.982828,102.524864,21.985766,18.797878,19.98922,20.993574,21.99582,17.995626,14.99763,17.99505,25.99779,20.999118,17.99847,17.997336,23.992896,11.99898,12.998492,17.99829,17.99847,14.999205,15.999664,12.999454,19.99936,131.997228,73.98594,104.634495,26.965035,26.911791,24.983825,15.964496,15.986304,14.995245,18.993977,18.994376,14.99715,19.99852,24.999475,21.99813,14.998725,21.999538,18.999791,18.998803,14.999835,12.999857,14.999835,18.926185,21.91453,121.95364,59.9886,128.66589,25.93266,18.889287,8.981649,21.964382,18.977713,23.977176,18.980734,16.99048,17.997714,15.99864,15.996448,16.999099,11.999244,17.999046,11.999496,15.999664,13.999552,12.997504,17.988354,21.85084,20.893215,154.91971,74.953275,129.374159,26.982531,19.8644,22.977667,19.9626,18.981551,18.984344,16.99694,12.997114,20.998446,16.998555,19.99874,19.99852,18.998803,11.999616,20.998005,20.999559,13.995464,15.999152,19.99352,12.977965,20.986413,128.92776,72.966858,112.599302,20.986413,18.831565,17.92449,12.969229,13.973666,17.984412,20.993196,14.9973,18.998385,14.99952,17.998668,20.998677,18.999202,19.99916,18.999202,13.999552,13.999846,16.998929,18.999392,22.999517,30.969899,131.948388,53.982504,138.7589,18.987707,29.8983,22.977667,15.972608,11.996112,20.988009,15.994752,23.994432,17.997336,19.99852,16.998742,10.999417,14.999205,17.999802,16.999099,18.999392,16.999456,18.87118,20.972805,16.88474
S006,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999831,0,0,0,0,0,0.999989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999979,0,0,0,0,0,0,0,4.957625,0,0,0,0,0,0,0,0,0,0,0,0.999725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999049,0,0,0,0,0.999979,0,12.998895,0,0,0,0,0.999989,0,0,0,0,0,0,0,0,0,0,0,0,0.998986,0,0,0,0,0,0,0,0,0,0,0.999808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999778,0,0,0,0,1.999874,0,0,0,3.998704,0,4.99838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S007,B,0,0,0,0,0,0,0,0,0,0,0,1.99964,0,0,0,0,1.999324,0.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999842,3.9989,0,0,0.999915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99966,0.999979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.998098,0,0,0,0.999915,0.999778,0,0,0,0,0,0,0,0,0,0.994915,0,0,0,0,0,0,0,0,0.999176,0,0.999778,0.999926,0.999915,0,0,0,0,0.999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S008,C,0.999894,0,0.999546,0,1.99741,0,4.99838,0,3.998984,0,4.999155,0,1.999704,0,1.999852,0,1.999324,0,3.999704,0,1.998706,0,1.99741,0,2.99385,0,2.998542,0,0.999353,0,4.99815,0,3.998944,0,1.99981,0,2.999619,0,3.999832,0,2.999112,0,1.999788,0,1.999978,0,0.999989,0,4.995145,0,5.997654,0,2.999028,0,3.998704,0,2.998986,0,1.999684,0,3.999368,0,6.998964,0,1.99983,0,1.999768,0,4.99979,0,3.997412,0,3.998704,0,1.998706,0,3.99482,0,0.99962,0,1.99964,0,3.999156,0,2.999745,0,1.99983,0,0.999958,0,1.999978,0,2.999937,0,1.999978,0,0.997309,0,2.999028,0,4.996765,0,3.997844,0,3.99924,0,1.999684,0,2.999745,0,1.99983,0,1.999408,0,3.999536,0,1.99983,0,0.999979,0,4.99984,0,0.99981,0,2.996115,0,4.996765,0,4.99572,0,4.998415,0,2.99943,0.999926,2.999937,0,6.999405,5.999874,12.999857,2.999811,6.999923,0,3.999956,0,1.99223,0,1.99962,0,4.98705,0,5.987766,0,3.995308,51.950548,85.912796,63.96416,67.991364,25.99779,84.98113,98.994753,90.994267,59.99682,81.996556,0,11.999616,0,5.996118,0,5.96949,0,6.995639,0,1.998706,0,9.99029,0,2.997087,10.990936,58.98938,29.99334,23.998224,0,10.999307,13.998964,20.998677,111.996416,127.98784,11.999748,39.98704,19.99894,31.989632,0,4.996765,0,4.99773,0,4.996765,0,4.979025,0,1.996238,0,2.999028,0,5.99949,0,2.999778,0,1.999916,0,2.999874,0,0,0,2.999904,0,2.997087,0,7.997408,0,7.994824,0,2.997087,0,3.998704,0,4.99836,0,2.999556,0,0.999926,0,5.999682,0,2.999841,0,3.999872,0,2.996115,0
S009,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999852,1.98644,4.996765,2.999967,2.996115,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999746,0,1.999916,0.999905,0,0.999894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999788,0,0.999926,0,0,1.999916,0,0,0.999989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999684,2.999175,0,1.999916,12.998895,5.999112,0,0.999915,0,0.999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999683,0,1.99962,0.999926,0.999979,0,1.99983,3.999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999049,0.998986,2.99832,3.999492,1.99983,3.999112,0.999947,3.999748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.995145,6.994232,5.99892,0.999778,7.999408,0.999915,0,0,0,0,1.99981,0,0.999676,1.999894,0.999676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S010,C,0,0,3.998184,0,0.998705,0,0,0,0.999746,0,1.999662,3.99928,2.999556,0,5.999556,0,0.999662,0,1.999852,0,2.998059,0,5.99223,0.99322,0.99795,0,0.999514,0,3.997412,0,2.99889,0,3.998944,0,0.999905,0,0.999873,0,0,0,4.99852,0,0,0,1.999978,0,4.999945,0.999979,2.997087,0,3.998436,0,1.999352,0,4.99838,0,2.998986,0,3.999368,0,4.99921,0,2.999556,0,3.99966,1.999894,0.999884,0,3.999832,0,4.996765,0,2.999028,0,5.996118,0,5.99223,0,0.99962,0,2.99946,0.999894,4.998945,0,4.999575,0.999926,2.999745,1.999958,2.999874,0.999968,3.999956,0,4.999895,0,1.999978,0,0.997309,0,2.999028,0,2.998059,0,2.998383,0,0,2.999271,1.999684,0.999725,0,0,0.999915,7.998816,1.999408,0,0.999884,0,0.999915,0,4.999895,0,2.999904,0.999979,4.99905,0,4.993525,0,1.998706,0,1.998288,0,2.999049,1.999408,1.99962,0,3.999916,0,1.99983,0,0,0.999937,3.999956,0,4.999945,0,4.980575,0,4.99905,0.99741,4.98705,0,2.993883,0,4.994135,0,0,0,0.999873,0,2.999334,0,0.999937,0,1.999916,0,0.999968,0,0,0,0.994915,0,3.997508,0,4.996765,0,1.998058,0,4.995145,0,6.99874,0,0.999926,0,2.999811,0,3.999748,0,0.999905,0,0.999676,0,2.999028,0,2.998059,0,3.998184,0,0.999353,0.991135,2.987415,0,1.996238,0,0,0,1.99983,0,1.999852,0,2.999874,0,2.999874,0,4.999945,0,1.999936,0,3.996116,0,3.998704,0,3.997412,0,0.999029,0,5.998056,0,1.999344,0,0.999852,0,4.99963,0,4.999735,0,3.999788,0,2.999904,0,2.996115,0
