时间(s),X坐标(m),Y坐标(m)
221,1.102026005,4.561439937
221.25,1.089532951,4.560541895
221.5,1.077042679,4.5595812
221.75,1.064555503,4.558557856
222,1.052071739,4.557471872
222.25,1.039591698,4.556323255
222.5,1.027115697,4.555112015
222.75,1.01464405,4.553838164
223,1.00217707,4.552501716
223.25,0.989715071,4.551102685
223.5,0.977258369,4.549641088
223.75,0.964807277,4.548116943
224,0.952362109,4.546530268
224.25,0.93992318,4.544881087
224.5,0.927490803,4.54316942
224.75,0.915065292,4.541395292
225,0.902646962,4.53955873
225.25,0.890236125,4.537659761
225.5,0.877833096,4.535698413
225.75,0.865438188,4.533674718
226,0.853051714,4.531588707
226.25,0.840673989,4.529440415
226.5,0.828305324,4.527229876
226.75,0.815946033,4.524957128
227,0.80359643,4.522622209
227.25,0.791256826,4.520225159
227.5,0.778927535,4.51776602
227.75,0.766608869,4.515244835
228,0.754301139,4.512661649
228.25,0.742004659,4.510016507
228.5,0.72971974,4.507309459
228.75,0.717446694,4.504540553
229,0.705185833,4.501709841
229.25,0.692937466,4.498817375
229.5,0.680701907,4.49586321
229.75,0.668479465,4.4928474
230,0.656270451,4.489770005
230.25,0.644075176,4.486631081
230.5,0.631893949,4.483430691
230.75,0.61972708,4.480168895
231,0.60757488,4.476845758
231.25,0.595437656,4.473461345
231.5,0.583315719,4.470015721
231.75,0.571209377,4.466508957
232,0.559118938,4.462941121
232.25,0.54704471,4.459312285
232.5,0.534987002,4.455622521
232.75,0.52294612,4.451871905
233,0.510922372,4.448060512
233.25,0.498916065,4.44418842
233.5,0.486927505,4.440255707
233.75,0.474956998,4.436262456
234,0.46300485,4.432208747
234.25,0.451071365,4.428094665
234.5,0.439156851,4.423920295
234.75,0.427261609,4.419685724
235,0.415385946,4.41539104
235.25,0.403530164,4.411036334
235.5,0.391694568,4.406621696
235.75,0.37987946,4.402147219
236,0.368085142,4.397612999
236.25,0.356311917,4.393019131
236.5,0.344560086,4.388365713
236.75,0.332829951,4.383652844
237,0.321121812,4.378880624
237.25,0.30943597,4.374049156
237.5,0.297772724,4.369158544
237.75,0.286132374,4.364208892
238,0.274515218,4.359200307
238.25,0.262921556,4.354132898
238.5,0.251351684,4.349006775
238.75,0.239805901,4.343822047
239,0.228284503,4.338578829
239.25,0.216787786,4.333277235
239.5,0.205316046,4.32791738
239.75,0.193869578,4.322499381
240,0.182448677,4.317023358
240.25,0.171053638,4.31148943
240.5,0.159684753,4.30589772
240.75,0.148342316,4.30024835
241,0.137026619,4.294541445
241.25,0.125737954,4.288777131
241.5,0.114476612,4.282955537
241.75,0.103242883,4.27707679
242,0.092037059,4.271141023
242.25,0.080859428,4.265148366
242.5,0.069710279,4.259098954
242.75,0.0585899,4.252992921
243,0.047498578,4.246830404
243.25,0.036436602,4.240611541
243.5,0.025404256,4.234336472
243.75,0.014401826,4.228005337
244,0.003429597,4.221618278
244.25,-0.007512146,4.215175439
244.5,-0.01842312,4.208676966
244.75,-0.029303042,4.202123005
245,-0.040151631,4.195513704
245.25,-0.050968604,4.188849213
245.5,-0.061753681,4.182129682
245.75,-0.072506582,4.175355265
246,-0.083227028,4.168526114
246.25,-0.093914739,4.161642385
246.5,-0.104569439,4.154704235
246.75,-0.11519085,4.147711821
247,-0.125778696,4.140665304
247.25,-0.136332702,4.133564844
247.5,-0.146852592,4.126410603
247.75,-0.157338092,4.119202745
248,-0.16778893,4.111941435
248.25,-0.178204833,4.10462684
248.5,-0.18858553,4.097259127
248.75,-0.198930749,4.089838465
249,-0.20924022,4.082365026
249.25,-0.219513675,4.074838981
249.5,-0.229750845,4.067260503
249.75,-0.239951462,4.059629768
250,-0.25011526,4.051946951
250.25,-0.260241974,4.04421223
250.5,-0.270331337,4.036425783
250.75,-0.280383086,4.028587791
