候选编号,任务类型,目标编号,准备开始时刻(s),执行时刻(s),拍照角度(度),执行X坐标(m),执行Y坐标(m),任务收益
P03_001,拍照,P03,446.2,446.7,346.0988488369713,52.74149440296684,0.9153419438476372,100
P11_006,拍照,P11,446.7,447.2,12.377281255600224,52.78191930069802,1.5647737397993964,100
P17_011,拍照,P17,447.2,447.7,149.35080426787414,52.40233618037268,1.1718183323547469,100
P18_016,拍照,P18,447.7,448.2,171.08155496879203,52.25542039040638,0.08153906005408638,100
P15_021,拍照,P15,448.2,448.7,134.68806751902616,52.695741469918765,-0.5135832669488773,100
P16_026,拍照,P16,448.7,449.2,125.20198859192942,53.147665050134314,-0.21303563555542834,100
P13_033,拍照,P13,449.4,449.9,37.19703321748591,53.082049751202725,1.079557399275896,100
S06_038,射击,S06,449.9,451.4,,53.108098820919444,1.1620080361991634,85
P12_053,拍照,P12,451.4,451.9,44.876568283424774,53.674726287578935,2.3901382573505376,100
P07_060,拍照,P07,457.7,458.2,256.2038793105465,51.40928643850334,-0.8244863598053809,100
S08_051,射击,S08,458.7,460.2,,52.52393142414287,0.24586636127408132,85
P09_072,拍照,P09,460.2,460.7,211.85134395645335,52.89404696660211,0.30882325009209316,100
P05_077,拍照,P05,460.7,461.2,296.944364604126,53.20783294562025,0.1484934937334799,100
S09_076,射击,S09,461.2,462.7,,50.913068739799634,-1.9426993861501882,85
P08_082,拍照,P08,462.7,463.2,248.05796781788337,50.96668346129988,-1.4010233042404776,100
P14_087,拍照,P14,463.2,463.7,90.83442422350163,50.64087626883513,-1.7085144434336677,100
P04_092,拍照,P04,463.7,464.2,312.11306103672143,50.721245758825354,-2.030963759901368,100
S05_106,射击,S05,464.2,465.7,,52.05495080320011,0.9269136188100472,85
S04_121,射击,S04,465.7,467.2,,53.54975424072006,-0.9791258036653666,85
P06_004,拍照,P06,467.2,467.7,303.3734405617618,53.32334193397098,-1.5440980404259823,100
P12_102,拍照,P12,476.8,477.3,108.61532984317392,27.74818119657814,1.3604748837769567,100
P06_011,拍照,P06,477.4,477.9,198.4879308541974,28.373687116780356,1.2717770735304212,100
P02_008,拍照,P02,493.0,493.5,216.00237434655165,-0.9161577346004666,11.716511438368883,100
P10_014,拍照,P10,493.6,494.1,111.0857844205861,-0.23314213664201455,11.458106436545338,100
P11_113,拍照,P11,494.1,494.6,142.25792417947696,-0.49485742699460766,11.725373078777515,100
P01_008,拍照,P01,506.7,507.2,99.1895299587544,0.7402618388751839,45.33970994645046,100
P02_044,拍照,P02,515.2,515.7,113.47178645149046,-0.3971205093178277,56.31633678297357,100
S12_081,射击,S12,516.2,517.7,,1.514154959321884,58.34205032101397,85
S10_149,射击,S10,533.6,535.1,,-14.498516625476462,62.09980812402421,85
P04_121,拍照,P04,749.9,750.4,75.53673951632953,39.978994910166016,50.60969344213783,100
P05_118,拍照,P05,750.8,751.3,89.52308306752695,39.18561742699161,50.39916538364051,100
S13_003,射击,S13,762.7,764.2,,9.816616822714122,63.63753131830404,85
S11_198,射击,S11,775.7,777.2,,-0.7352016338436104,60.43138947560013,85
