block_count,confidence,delta_time,experiment,has_x_bias,has_y_bias,mean_dx,mean_dy,objective,parameter,parameter_unit,x_high,x_low,y_high,y_low
150,,-367.944000001031,smoothing_window,False,False,-0.12277796038732243,-0.1709787001901904,46.36137596413334,1,points,0.14036667377373296,-0.3859225945483778,0.10274298919121228,-0.4447003895715931
150,,-367.99600000103203,smoothing_window,False,False,-0.11137001611621222,-0.18220372387845707,17.23769871351905,3,points,0.14442610003656392,-0.36716613226898837,0.07423908069709595,-0.4386465284540101
150,,-367.9060000010319,smoothing_window,False,False,-0.12813150632674436,-0.16356179279339808,10.526579722983175,5,points,0.11301889649809402,-0.36928190915158277,0.08164905408216022,-0.4087726396689564
150,,-367.9050000010319,smoothing_window,False,False,-0.12747431491791902,-0.1641167988951739,7.4482951593314874,7,points,0.10209722969612198,-0.35704585953196,0.06807178138951736,-0.39630537917986514
300,0.9,-367.9060000010319,block_confidence,False,False,-0.12813150632674433,-0.1635617927933981,10.526579722983175,10,points,0.061512368901136705,-0.31777538155462537,0.017328863976545927,-0.34445244956334214
300,0.95,-367.9060000010319,block_confidence,False,False,-0.12813150632674433,-0.1635617927933981,10.526579722983175,10,points,0.09784305935941301,-0.3541060720129017,0.051982672068192404,-0.3791062576549886
300,0.99,-367.9060000010319,block_confidence,False,False,-0.12813150632674433,-0.1635617927933981,10.526579722983175,10,points,0.1688493767694804,-0.42511238942296903,0.11971161599368463,-0.44683520158048085
150,0.9,-367.9060000010319,block_confidence,False,False,-0.12813150632674436,-0.16356179279339808,10.526579722983175,20,points,0.07424833569486763,-0.3305113483483564,0.042225682041165,-0.36934926762796116
150,0.95,-367.9060000010319,block_confidence,False,False,-0.12813150632674436,-0.16356179279339808,10.526579722983175,20,points,0.11301889649809402,-0.36928190915158277,0.08164905408216022,-0.4087726396689564
150,0.99,-367.9060000010319,block_confidence,False,False,-0.12813150632674436,-0.16356179279339808,10.526579722983175,20,points,0.18879380503504628,-0.445056817688535,0.15869984593905953,-0.4858234315258557
60,0.9,-367.9060000010319,block_confidence,False,False,-0.1281315063267444,-0.1635617927933981,10.526579722983175,50,points,0.08656727321302207,-0.3428302858665109,0.049201958472253726,-0.37632554405904994
60,0.95,-367.9060000010319,block_confidence,False,False,-0.1281315063267444,-0.1635617927933981,10.526579722983175,50,points,0.12769781271426398,-0.3839608253677528,0.08996179834942186,-0.4170853839362181
60,0.99,-367.9060000010319,block_confidence,False,False,-0.1281315063267444,-0.1635617927933981,10.526579722983175,50,points,0.2080851685897753,-0.46434818124326405,0.1696246423910333,-0.4967482279778295
30,0.9,-367.9060000010319,block_confidence,False,False,-0.12813150632674433,-0.1635617927933981,10.526579722983175,100,points,0.08772081056439629,-0.34398382321788495,0.04827623097816425,-0.37539981656496046
30,0.95,-367.9060000010319,block_confidence,False,False,-0.12813150632674433,-0.1635617927933981,10.526579722983175,100,points,0.12907233694641398,-0.3853353495999027,0.0888587262456208,-0.415982311832417
30,0.99,-367.9060000010319,block_confidence,False,False,-0.12813150632674433,-0.1635617927933981,10.526579722983175,100,points,0.2098915994111448,-0.4661546120646335,0.16817496009377586,-0.4952985456805721
