时间(s),X坐标(m),Y坐标(m)
469.05,49.67712933,-5.512306353
469.3,53.62395427,-0.577334402
469.55,49.42852306,-2.171611515
469.8,48.81811413,-6.685718578
470.05,44.42130934,6.056289366
470.3,49.468735,3.957839856
470.55,43.04272106,4.062733314
470.8,44.1034758,0.451162016
471.05,44.76363467,9.613473008
471.3,50.48161559,-0.67926676
471.55,44.62627283,-4.312364102
471.8,47.89974518,2.61103541
472.05,34.7457013,-0.418993004
472.3,43.85827077,3.154310262
472.55,43.51524462,-4.834296247
472.8,42.90724974,1.080501313
473.05,39.71772242,5.995317141
473.3,46.82675701,0.195941802
473.55,40.38035929,2.613869774
473.8,36.51957728,-2.955980225
474.05,38.8045995,1.465055144
474.3,36.09061342,-3.707091671
474.55,27.59544821,-5.421356533
474.8,28.5297047,-4.375229086
475.05,36.78752965,-3.353876404
475.3,35.23011762,0.555901022
475.55,24.29588578,-2.041373277
475.8,22.6107458,4.794068273
476.05,30.46191945,4.844619017
476.3,23.22159243,-3.364415685
476.55,31.98244201,2.896221486
476.8,30.60486051,-0.2274305
477.05,24.80513198,-1.103567503
477.3,29.3921755,3.278556207
477.55,28.20741316,0.978237746
477.8,31.90213467,7.058966722
478.05,33.96199627,5.432864368
478.3,36.3211173,-6.015399233
478.55,27.12629875,-0.956218177
478.8,21.8057914,0.634923137
479.05,27.5093919,-2.627974532
479.3,15.18533956,6.97340095
479.55,22.93262063,-1.594814756
479.8,27.05715035,-0.216820249
480.05,19.49282048,3.654644942
480.3,20.07363041,10.85436608
480.55,21.47929673,2.24572869
480.8,15.52876637,-9.46953717
481.05,19.91496021,-2.913575006
481.3,20.25127473,0.352472207
481.55,21.07740809,-2.661481255
481.8,15.29527339,-6.08832176
482.05,22.76653284,-8.865498083
482.3,12.39217564,3.609061762
482.55,23.79018764,-4.099189191
482.8,17.80907095,2.114150407
483.05,16.32076259,1.91116757
483.3,14.99249384,0.984042037
483.55,11.29242946,-0.744161545
483.8,19.23243813,9.841218112
484.05,12.08561182,0.266816617
484.3,16.44976856,-1.208598945
484.55,16.06173235,2.35546359
484.8,13.16013856,-0.222401533
485.05,13.92940781,-2.063798616
485.3,10.72053621,-1.75595441
485.55,11.55488536,-4.389486942
485.8,10.32519452,5.839366685
486.05,14.90187639,9.403844273
486.3,11.80044475,-7.479041871
486.55,2.601777045,-0.511986523
486.8,12.59540889,3.329332516
487.05,4.795694041,-4.82438478
487.3,-3.087403374,4.70188746
487.55,4.914970868,3.814749473
487.8,-3.626981377,3.052152741
488.05,7.125571631,2.842792443
488.3,-2.405150571,-2.153079245
488.55,-2.949178355,0.173168078
488.8,-0.479526801,1.947558847
489.05,-2.087480496,2.272276738
489.3,-4.775800779,-6.718198654
489.55,-5.922446817,-0.033217477
489.8,-2.252907925,4.237825891
490.05,3.590182023,-0.949052089
490.3,3.424698954,1.128328971
490.55,3.405588099,2.399807646
490.8,3.386834339,12.10264383
491.05,3.981030876,4.25768024
491.3,3.17904639,7.202830203
491.55,-2.81390716,12.19879972
491.8,-4.647952199,8.563231517
492.05,-2.800678825,14.45071063
492.3,1.193339649,11.87468623
492.55,-2.782551521,17.78318261
492.8,-1.395686921,13.82290103
493.05,-8.754165346,10.53452623
493.3,-1.870361044,15.73036382
493.55,-1.334453116,10.80131303
493.8,-0.463690341,11.90368389
494.05,2.449107088,14.45907501
494.3,-1.417775317,6.823282066
494.55,3.909308422,16.72406313
494.8,-6.888093858,10.55874085
495.05,1.52137468,15.02848906
495.3,-8.634076681,15.46117659
495.55,-0.936798083,4.289326366
495.8,0.636423472,5.627907859
496.05,-1.532696902,15.61553817
496.3,1.261088797,20.23442547
496.55,-1.449267801,17.47494801
496.8,3.820336798,11.53938494
497.05,7.79709351,21.10829954
497.3,-3.3611835,16.08249138
497.55,-1.098534526,16.67774302
497.8,-0.656065083,13.555099
498.05,-5.302580798,27.82585314
498.3,0.343997167,24.56375341
498.55,-3.506412015,22.49588638
498.8,-2.744277199,21.19517877
499.05,2.700666901,18.95234857
499.3,3.742286563,23.37186247
499.55,1.246652379,29.30447909
499.8,-0.479003268,27.2564122
500.05,3.600005245,27.98120408
500.3,-3.033084492,25.86799415
500.55,-0.784475724,30.0873008
500.8,0.516168699,28.8247944
501.05,-1.757296879,25.5693818
501.3,0.05138349,27.57184133
501.55,4.673049103,36.35663514
501.8,-1.074733521,40.38491971
502.05,-4.732598904,29.37812735
502.3,-8.249530935,31.20655975
502.55,1.408938714,33.55743166
502.8,-0.701817701,33.78553682
503.05,-4.557386933,35.00797457
503.3,5.609883087,36.08964446
503.55,5.729206349,40.64428383
503.8,-2.356358831,43.32148718
504.05,4.24701042,34.91223723
504.3,-1.510270595,38.13765165
504.55,-2.218577021,35.36168559
504.8,-0.661531783,44.17898598
505.05,0.932504947,35.3298595
505.3,4.260856044,39.64227375
505.55,-1.809872896,47.53557996
505.8,1.249000957,43.55570517
506.05,2.182091582,45.39300379
506.3,-0.981698705,35.7511595
506.55,7.688064368,51.05840558
506.8,-1.83277814,49.83110105
507.05,7.875413806,46.13198168
507.3,-0.957799588,39.08010895
507.55,2.8986739,49.72268762
507.8,-0.972800055,46.58325022
508.05,2.266263021,41.90684456
508.3,9.782558925,46.0566695
508.55,2.929948724,45.0767027
508.8,-0.816378054,53.59334436
509.05,-2.605589504,55.3725427
509.3,-0.281996933,44.03293717
509.55,1.7364914,38.70891229
509.8,-7.185284326,50.7490035
510.05,-10.43016536,42.71706064
510.3,6.173523945,45.10001403
510.55,1.555017303,50.56611964
510.8,-2.496415114,48.30134163
511.05,-0.191443387,44.1158173
511.3,4.198071136,47.50958038
511.55,-1.699827734,51.02101445
511.8,-9.46893795,48.30269194
512.05,-10.70937929,54.69996759
512.3,4.320600369,40.96437258
512.55,-0.99593682,50.7468743
512.8,1.902454284,50.49752242
513.05,-7.802162459,46.69550936
513.3,-2.180526279,61.75981979
513.55,2.312926334,52.02380015
513.8,-5.854005823,57.59942373
514.05,4.103087333,53.03069294
514.3,1.468380531,54.23343966
514.55,-4.424806564,53.18560154
514.8,-6.805448641,57.41590825
515.05,4.5973562,54.01748683
515.3,6.303848661,59.71908333
515.55,-1.326605964,58.02206498
515.8,0.019971976,55.90581534
516.05,-8.421281408,54.20068705
516.3,2.922966792,61.38712028
516.55,-5.477419609,53.00931062
516.8,-1.205315845,55.01569119
517.05,-2.736601917,49.09243184
517.3,-2.80304243,59.94044462
517.55,1.530745331,66.6541975
517.8,9.763997135,49.33682451
518.05,4.69129914,62.1627896
518.3,2.994139982,56.54252278
518.55,0.132286274,63.52329179
518.8,-6.602296601,61.57449361
519.05,-3.936284164,60.41566517
519.3,1.221378002,56.08989183
519.55,2.307735387,62.53721969
519.8,6.383705756,64.13899145
520.05,1.792704148,58.52765147
520.3,1.235117283,61.51236618
520.55,2.374273217,73.80109213
520.8,-4.551793606,56.86395823
521.05,-1.786520911,60.13101281
521.3,-3.427402615,60.90328471
521.55,-0.484942372,59.97821383
521.8,-0.996508667,63.91509486
522.05,-3.973393061,69.97629626
522.3,6.176043633,71.91095861
522.55,3.871069376,57.21588383
522.8,1.142275707,71.29775774
523.05,-0.169894512,66.96982644
523.3,-3.498465667,60.5710097
523.55,-8.880512984,57.46978798
523.8,5.879251408,64.57712254
524.05,-2.796519394,61.87650173
524.3,4.855710536,63.70701588
524.55,-5.606221984,65.54312798
524.8,1.426056016,57.08555195
525.05,-2.657772021,66.62818638
525.3,-13.30005563,62.8629551
525.55,0.508476333,67.93433811
525.8,-3.361049931,61.35408555
526.05,-4.399564172,57.79994583
526.3,-4.491487878,71.97277713
526.55,2.07874745,68.8919943
526.8,3.618910701,59.26958425
527.05,-2.463157131,63.40070498
527.3,-5.037383017,60.02477483
527.55,-7.728895893,61.35656158
527.8,0.598232782,64.47873958
528.05,-10.76251347,67.50991872
528.3,-7.127364391,67.93547932
528.55,-6.835324342,66.30927933
528.8,-11.96989986,65.47192935
529.05,-10.77596732,64.27896277
529.3,-6.514229826,67.49427632
529.55,-2.726857553,62.47013217
529.8,-5.936254058,64.13452222
530.05,-7.918235471,60.06815679
530.3,-16.02693386,64.43898828
530.55,-12.02562107,64.05960279
530.8,-13.96636691,66.14494257
531.05,-18.64145411,63.85201517
531.3,-14.49509126,61.16937741
531.55,-7.729684257,70.73532059
531.8,-11.51348208,60.23913024
532.05,-13.97726475,56.22358635
532.3,-9.176302721,64.64251848
532.55,-21.25711837,62.33277489
532.8,-13.27098276,52.66644743
533.05,-17.18049592,60.94658689
533.3,-13.89055845,56.08724199
533.55,-12.39281305,62.48570582
533.8,-17.84087486,63.56725758
534.05,-6.902004255,63.05715216
534.3,-10.16996527,57.10638435
534.55,-20.66910999,63.14808044
534.8,-13.32818609,52.26676983
535.05,-8.462833634,61.32438043
535.3,-19.35978561,63.7545097
535.55,-12.0604587,64.09314696
535.8,-15.14385948,59.47459991
536.05,-15.36168159,70.22463795
536.3,-18.40759106,66.13039394
536.55,-14.47812811,58.57741044
536.8,-15.88071489,61.47554232
537.05,-22.29847453,53.70158496
537.3,-19.48961329,62.93809617
537.55,-21.9885433,55.18199236
537.8,-22.85449565,58.44048027
538.05,-29.3946805,57.44813853
538.3,-18.62211972,62.12278615
538.55,-17.63657435,59.27246292
538.8,-25.71907433,61.99583478
539.05,-24.26978963,61.8536256
539.3,-23.26238546,60.16915407
539.55,-19.49950214,64.3227519
539.8,-22.86026885,55.24152196
540.05,-21.02049439,59.00457656
540.3,-22.36007339,55.69706726
540.55,-27.79420895,56.81505865
540.8,-25.81603796,57.33299836
541.05,-21.18290839,61.61927828
541.3,-24.02326645,53.46094002
541.55,-28.94984514,52.24695007
541.8,-22.74337992,45.96332799
542.05,-22.74599027,63.60884548
