时间(s),X坐标(m),Y坐标(m)
445.0358000003,52.00849271,2.357650556
445.2358000003,54.95754067,-2.599964008
445.4358000003,57.02716296,2.117934364
445.6358000003,54.33471886,-5.467716924
445.8358000003,48.69545252,2.200071118
446.0358000003,51.23441202,2.343067816
446.2358000003,54.34969301,2.895720996
446.4358000003,51.08123934,-4.081878297
446.6358000003,53.9195759,0.849484386
446.8358000003,54.92792774,-0.790900159
447.0358000003,51.14526722,3.469515173
447.2358000003,50.96957343,2.653398777
447.4358000003,53.88314697,4.120237707
447.6358000003,54.67276829,0.829173109
447.8358000003,50.92262598,3.127235948
448.0358000003,54.67125738,-5.873592671
448.2358000003,48.55227869,2.298150047
448.4358000003,49.25211195,-0.892198409
448.6358000003,53.87774179,0.68498837
448.8358000003,55.71290675,1.973433118
449.0358000003,56.98796239,-4.560219729
449.2358000003,48.66582071,-2.906699387
449.4358000003,51.37182194,0.119385263
449.6358000003,54.31966964,3.91580354
449.8358000003,58.14877635,1.867116242
450.0358000003,48.97892819,3.63224696
450.2358000003,51.31378674,1.258582502
450.4358000003,54.28788305,-1.654787439
450.6358000003,53.74644767,-0.227486434
450.8358000003,55.19579045,-3.330414026
451.0358000003,48.29416065,3.756449431
451.2358000003,54.83302024,3.251385235
451.4358000003,51.94899296,-1.667975257
451.6358000003,53.2176865,-1.83588216
451.8358000003,52.58004547,3.548276234
452.0358000003,55.53783094,7.311545345
452.2358000003,56.64714232,2.733041818
452.4358000003,55.74364429,3.096215349
452.6358000003,49.00892791,-0.973878173
452.8358000003,49.56996852,2.768537747
453.0358000003,49.29019038,-3.402476685
453.2358000003,53.15929001,-2.400495934
453.4358000003,55.52194759,-0.223173906
453.6358000003,51.13354798,4.083410197
453.8358000003,50.36102746,-1.198250273
454.0358000003,50.63488253,-2.579877949
454.2358000003,51.43884346,-0.097303768
454.4358000003,46.79452255,-0.333797586
454.6358000003,50.64980442,1.90521622
454.8358000003,46.64314862,-0.753728321
455.0358000003,52.38281474,-1.441157495
455.2358000003,53.80120405,2.573549829
455.4358000003,52.97878123,-2.689380365
455.6358000003,54.8060675,3.416678064
455.8358000003,55.07260907,0.401207926
456.0358000003,47.4893277,-4.016889268
456.2358000003,53.37814133,3.264496801
456.4358000003,51.44026088,6.57959906
456.6358000003,56.34850058,3.546761889
456.8358000003,54.93215391,0.07482767
457.0358000003,53.35946228,3.04780535
457.2358000003,54.45853247,-0.186813005
457.4358000003,48.8156867,-4.50889188
457.6358000003,49.01896607,-1.039883981
457.8358000003,52.70405211,-1.315259393
458.0358000003,51.64312533,-1.831621161
458.2358000003,49.71274395,-3.140097455
458.4358000003,50.44587864,3.106298049
458.6358000003,58.91105783,-0.33892323
458.8358000003,47.87855051,0.544325853
459.0358000003,50.03420139,0.301701972
459.2358000003,55.94901859,8.487526205
459.4358000003,59.4387894,-2.323451328
459.6358000003,53.42230838,1.501118491
459.8358000003,49.43542441,0.751253249
460.0358000003,56.09691834,-0.862800904
460.2358000003,48.69128918,-0.79719058
460.4358000003,47.93707481,1.150393708
460.6358000003,55.79846868,2.198378827
460.8358000003,53.89327952,-1.788072629
461.0358000003,58.54044726,-0.217191609
461.2358000003,48.72611308,2.836822051
461.4358000003,51.95438419,-0.999976514
461.6358000003,56.70927494,-0.477928592
461.8358000003,51.18968248,-0.003625107
462.0358000003,51.52786489,-3.433457959
462.2358000003,50.36978725,-1.070509565
462.4358000003,51.21589085,-3.326549878
462.6358000003,49.8104273,-1.255027241
462.8358000003,48.46207257,-8.622763734
463.0358000003,54.27059154,6.280650329
463.2358000003,50.96136776,-1.885621003
463.4358000003,53.61171398,-1.391450185
463.6358000003,48.50690654,-0.797475512
463.8358000003,48.09315439,-4.204495188
464.0358000003,50.46845615,-1.853193223
464.2358000003,50.72143602,-2.810419779
464.4358000003,52.5537929,-1.851769754
464.6358000003,53.90174566,-0.273300814
464.8358000003,47.13344322,-2.268159715
465.0358000003,52.11225935,-0.971461197
465.2358000003,50.64949274,-3.588120638
465.4358000003,48.2196629,6.262867821
465.6358000003,55.8794101,3.775459614
465.8358000003,57.01533754,2.874908396
466.0358000003,50.83299083,-3.19786998
466.2358000003,46.63124891,0.142432401
466.4358000003,53.65617624,-3.963603465
466.6358000003,48.71293678,2.21738984
466.8358000003,52.47136174,0.779901508
467.0358000003,55.6233902,0.941151652
467.2358000003,56.03560373,-0.556370784
467.4358000003,51.70869747,-4.816767253
467.6358000003,57.1597304,-2.768203343
