id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,0.0000,36.6547,44.3980,27.5618,145.9555,40.0475,165.7145,47.6689,44.2249,73.2186,132.0197,104.1183,99.4060,143.3858,129.3420,235.4209,250.8680,180.9891,245.8937,257.0546,209.7512,267.6692,229.7727,247.4001,193.1476,230.3177,248.2153,286.7830,294.0622,302.8873,312.1716,314.7419,322.8366,362.8253,334.6836,334.7902
2,36.6547,0.0000,10.4397,16.7877,182.3264,73.1591,201.5953,70.6885,61.7092,68.8464,163.4521,121.7154,103.2021,167.9922,118.9261,265.0025,280.7321,200.7340,273.8990,285.8456,232.9772,295.9733,254.4828,273.6007,202.6273,244.9499,256.6487,288.3637,293.7034,300.9957,319.3603,315.0406,320.0029,380.7913,332.7567,335.5110
3,44.3980,10.4397,0.0000,19.3573,188.6918,78.0469,207.3139,72.2404,62.1544,62.7857,166.4916,120.2049,98.2133,168.2527,110.4773,266.8130,282.6344,199.1470,275.0096,287.2614,232.4024,297.1597,254.3644,273.9890,198.0601,241.6102,251.5883,281.5937,286.5064,293.4704,313.8301,307.9425,312.2599,378.1254,325.1736,328.4690
4,27.5618,16.7877,19.3573,0.0000,169.5925,58.6972,188.0215,54.0655,44.9217,56.2398,147.5591,105.1230,88.8091,151.2193,109.6199,248.5751,264.3400,184.1065,257.2707,269.2969,216.1985,279.3655,237.6969,256.8497,187.4994,228.9652,241.8657,275.4407,281.3886,289.1936,304.9604,302.5518,308.5498,364.4481,321.0135,322.9190
5,145.9555,182.3264,188.6918,169.5925,0.0000,111.7710,24.0430,127.8882,139.5832,177.9064,65.9638,133.4562,171.5652,110.9239,220.8128,132.9617,143.8833,152.1558,151.2761,155.7221,152.0947,167.6241,158.0666,163.1438,203.4707,208.3813,247.9815,306.0115,319.4078,332.6424,305.9824,334.9405,353.6163,304.0486,360.8366,351.0323
6,40.0475,73.1591,78.0469,58.6972,111.7710,0.0000,129.4467,25.0691,33.1336,74.7846,91.9724,74.8325,86.2947,106.0381,128.2263,195.4766,210.8772,146.5073,206.2951,217.2412,172.5062,227.9605,191.5725,208.4407,167.3624,199.1200,222.1492,266.5793,275.6680,285.9047,286.3444,295.3958,306.5313,328.0564,317.3056,314.7807
7,165.7145,201.5953,207.3139,188.0215,24.0430,129.4467,0.0000,142.7572,154.6412,190.7503,65.3230,139.3339,180.1940,107.8439,229.5749,112.2092,122.0703,144.8470,131.2614,134.4882,139.0432,146.3151,141.9402,144.5151,199.8513,198.9129,240.6913,300.3316,314.4346,328.1244,296.2112,328.8302,348.8904,286.3473,355.2433,344.0056
8,47.6689,70.6885,72.2404,54.0655,127.8882,25.0691,142.7572,0.0000,11.9003,51.7268,94.9444,56.5795,61.4039,97.7190,103.4995,194.6101,210.4128,133.5239,203.2164,215.2377,163.4850,225.3031,184.3676,203.0744,147.2130,182.7858,202.3066,244.1918,252.7003,262.5474,266.4760,272.7615,283.0249,315.2635,294.1000,292.3985
9,44.2249,61.7092,62.1544,44.9217,139.5832,33.1336,154.6412,11.9003,0.0000,41.6720,106.2718,61.3231,57.3548,106.3451,95.6360,204.8393,220.7015,139.8519,212.8553,225.1364,171.3214,235.0061,192.7776,212.0346,148.9278,186.9868,203.9907,243.3846,251.2007,260.5279,267.9545,271.6199,280.7676,321.0106,292.2309,291.5059
10,73.2186,68.8464,62.7857,56.2398,177.9064,74.7846,190.7503,51.7268,41.6720,0.0000,135.3561,69.3203,36.3058,122.1641,56.3560,224.8208,240.7667,144.3405,229.5473,242.9853,180.6520,251.6718,204.0142,225.3916,135.9782,181.4013,188.9804,219.5788,225.2288,232.9542,251.0475,246.4569,252.3309,318.8699,264.7737,266.8724
11,132.0197,163.4521,166.4916,147.5591,65.9638,91.9724,65.3230,94.9444,106.2718,135.3561,0.0000,75.8395,118.5852,45.0177,167.3941,104.0997,119.2199,87.9494,116.6323,126.4462,96.2139,137.6019,109.2054,121.8376,137.5070,145.3436,182.9495,240.2338,253.4949,266.6871,242.5048,269.2495,287.6704,254.4151,295.0040,285.6443
12,104.1183,121.7154,120.2049,105.1230,133.4562,74.8325,139.3339,56.5795,61.3231,69.3203,75.8395,0.0000,43.7385,53.0529,91.6848,155.8298,171.7397,79.0323,160.2283,173.6832,112.8001,182.3602,135.5680,156.4491,92.6428,126.2157,147.3222,193.5507,203.7181,214.8916,211.5125,222.6781,235.8414,259.7018,245.7248,241.5837
13,99.4060,103.2021,98.2133,88.8091,171.5652,86.2947,180.1940,61.4039,57.3548,36.3058,118.5852,43.7385,0.0000,95.2911,49.4068,197.4268,213.1916,110.6332,200.0491,213.9907,148.2009,221.8925,172.0611,194.1714,99.8977,145.1678,153.4787,187.6348,194.6595,203.5631,216.2222,215.3962,223.6494,282.7355,235.3348,235.5200
14,143.3858,167.9922,168.2527,151.2193,110.9239,106.0381,107.8439,97.7190,106.3451,122.1641,45.0177,53.0529,95.2911,0.0000,139.8232,102.7769,118.6899,45.5003,107.7981,120.9447,66.5008,130.0036,86.6545,105.7363,92.6363,103.0909,138.4394,195.2264,208.4899,221.7310,199.1269,224.2666,242.6950,223.0765,249.9867,240.8021
15,129.3420,118.9261,110.4773,109.6199,220.8128,128.2263,229.5749,103.4995,95.6360,56.3560,167.3941,91.6848,49.4068,139.8232,0.0000,239.0485,254.3981,144.4340,239.0349,253.4509,183.3532,260.1391,207.5481,230.5436,112.9062,163.8257,157.8603,175.6050,178.5482,184.3257,214.6670,200.2424,202.4926,299.5641,215.7730,220.8757
16,235.4209,265.0025,266.8130,248.5751,132.9617,195.4766,112.2092,194.6101,204.8393,224.8208,104.0997,155.8298,197.4268,102.7769,239.0485,0.0000,15.9662,99.9285,20.1902,23.1948,65.9221,35.0440,49.5698,37.7978,156.7583,127.8526,173.8675,235.2532,251.4846,266.2947,213.9299,260.0624,284.9781,177.4319,287.3011,270.5779
17,250.8680,280.7321,282.6344,264.3400,143.8833,210.8772,122.0703,210.4128,220.7015,240.7667,119.2199,171.7397,213.1916,118.6899,254.3981,15.9662,0.0000,113.9212,22.4992,14.2654,78.1446,24.9627,58.7220,41.2793,169.3781,137.2586,182.8778,243.6417,260.0474,274.8934,219.1980,267.5520,293.0780,173.3705,294.6971,277.1054
18,180.9891,200.7340,199.1470,184.1065,152.1558,146.5073,144.8470,133.5239,139.8519,144.3405,87.9494,79.0323,110.6332,45.5003,144.4340,99.9285,113.9212,0.0000,96.0270,110.6611,38.9264,116.3068,63.1145,86.1604,59.8541,57.7197,96.0090,155.6184,170.0643,184.0550,154.5568,183.9936,204.5907,181.8880,210.4970,199.2917
19,245.8937,273.8990,275.0096,257.2707,151.2761,206.2951,131.2614,203.2164,212.8553,229.5473,116.6323,160.2283,200.0491,107.7981,239.0349,20.1902,22.4992,96.0270,0.0000,14.6505,58.4015,22.2137,37.0335,19.0277,149.1851,115.1174,160.5684,221.1980,237.6226,252.4706,196.9565,245.0528,270.5996,157.2775,272.1988,254.6608
20,257.0546,285.8456,287.2614,269.2969,155.7221,217.2412,134.4882,215.2377,225.1364,242.9853,126.4462,173.6832,213.9907,120.9447,253.4509,23.1948,14.2654,110.6611,14.6505,0.0000,73.0121,11.9154,51.1226,30.4726,163.6210,128.3313,173.3689,233.4769,249.9805,264.8280,207.1427,256.7143,282.6208,159.1159,283.7596,265.6523
21,209.7512,232.9772,232.4024,216.1985,152.0947,172.5062,139.0432,163.4850,171.3214,180.6520,96.2139,112.8001,148.2009,66.5008,183.3532,65.9221,78.1446,38.9264,58.4015,73.0121,0.0000,77.7661,24.2039,47.2508,91.2335,65.0382,110.8251,172.6805,188.4896,203.1537,159.0739,199.0126,222.5864,158.6772,226.2240,211.5156
22,267.6692,295.9733,297.1597,279.3655,167.6241,227.9605,146.3151,225.3031,235.0061,251.6718,137.6019,182.3602,221.8925,130.0036,260.1391,35.0440,24.9627,116.3068,22.2137,11.9154,77.7661,0.0000,54.3924,31.5592,166.8457,128.6637,172.7740,231.9139,248.4990,263.3192,203.0980,254.2630,280.6057,149.2530,281.1340,262.3643
23,229.7727,254.4828,254.3644,237.6969,158.0666,191.5725,141.9402,184.3676,192.7776,204.0142,109.2054,135.5680,172.0611,86.6545,207.5481,49.5698,58.7220,63.1145,37.0335,51.1226,24.2039,54.3924,0.0000,23.2285,112.6894,78.6597,124.5108,185.7357,202.0107,216.8341,165.4280,210.5079,235.4261,146.6029,237.7524,221.2500
24,247.4001,273.6007,273.9890,256.8497,163.1438,208.4407,144.5151,203.0744,212.0346,225.3916,121.8376,156.4491,194.1714,105.7363,230.5436,37.7978,41.2793,86.1604,19.0277,30.4726,47.2508,31.5592,23.2285,0.0000,135.3001,98.0008,142.9027,203.0554,219.5438,234.3925,177.9660,226.5204,252.2799,142.0199,253.6199,235.8535
25,193.1476,202.6273,198.0601,187.4994,203.4707,167.3624,199.8513,147.2130,148.9278,135.9782,137.5070,92.6428,99.8977,92.6363,112.9062,156.7583,169.3781,59.8541,149.1851,163.6210,91.2335,166.8457,112.6894,135.3001,0.0000,51.2992,55.1119,103.8958,116.2897,129.2294,119.2638,133.2011,150.2561,186.9783,158.1352,150.9848
26,230.3177,244.9499,241.6102,228.9652,208.3813,199.1200,198.9129,182.7858,186.9868,181.4013,145.3436,126.2157,145.1678,103.0909,163.8257,127.8526,137.2586,57.7197,115.1174,128.3313,65.0382,128.6637,78.6597,98.0008,51.2992,0.0000,46.0947,107.8361,123.8494,138.6078,97.6056,133.9780,157.7301,137.7267,161.1858,146.8459
27,248.2153,256.6487,251.5883,241.8657,247.9815,222.1492,240.6913,202.3066,203.9907,188.9804,182.9495,147.3222,153.4787,138.4394,157.8603,173.8675,182.8778,96.0090,160.5684,173.3689,110.8251,172.7740,124.5108,142.9027,55.1119,46.0947,0.0000,61.8559,77.7623,92.5132,64.2157,88.8207,111.7613,146.9896,115.8350,103.3168
28,286.7830,288.3637,281.5937,275.4407,306.0115,266.5793,300.3316,244.1918,243.3846,219.5788,240.2338,193.5507,187.6348,195.2264,175.6050,235.2532,243.6417,155.6184,221.1980,233.4769,172.6805,231.9139,185.7357,203.0554,103.8958,107.8361,61.8559,0.0000,16.6325,31.4077,54.3520,29.3241,49.9073,173.8139,54.9165,48.2141
29,294.0622,293.7034,286.5064,281.3886,319.4078,275.6680,314.4346,252.7003,251.2007,225.2288,253.4949,203.7181,194.6595,208.4899,178.5482,251.4846,260.0474,170.0643,237.6226,249.9805,188.4896,248.4990,202.0107,219.5438,116.2897,123.8494,77.7623,16.6325,0.0000,14.8495,66.7057,21.7424,34.5316,187.5933,42.0968,42.3591
30,302.8873,300.9957,293.4704,289.1936,332.6424,285.9047,328.1244,262.5474,260.5279,232.9542,266.6871,214.8916,203.5631,221.7310,184.3257,266.2947,274.8934,184.0550,252.4706,264.8280,203.1537,263.3192,216.8341,234.3925,129.2294,138.6078,92.5132,31.4077,14.8495,0.0000,77.9343,22.5370,21.0972,199.1191,31.8330,40.2572
31,312.1716,319.3603,313.8301,304.9604,305.9824,286.3444,296.2112,266.4760,267.9545,251.0475,242.5048,211.5125,216.2222,199.1269,214.6670,213.9299,219.1980,154.5568,196.9565,207.1427,159.0739,203.0980,165.4280,177.9660,119.2638,97.6056,64.2157,54.3520,66.7057,77.9343,0.0000,59.5924,87.4480,121.1910,82.9135,60.9184
32,314.7419,315.0406,307.9425,302.5518,334.9405,295.3958,328.8302,272.7615,271.6199,246.4569,269.2495,222.6781,215.3962,224.2666,200.2424,260.0624,267.5520,183.9936,245.0528,256.7143,199.0126,254.2630,210.5079,226.5204,133.2011,133.9780,88.8207,29.3241,21.7424,22.5370,59.5924,0.0000,27.9775,179.9157,27.2626,20.6337
33,322.8366,320.0029,312.2599,308.5498,353.6163,306.5313,348.8904,283.0249,280.7676,252.3309,287.6704,235.8414,223.6494,242.6950,202.4926,284.9781,293.0780,204.5907,270.5996,282.6208,222.5864,280.6057,235.4261,252.2799,150.2561,157.7301,111.7613,49.9073,34.5316,21.0972,87.4480,27.9775,0.0000,207.1204,14.7543,34.6833
