id,color,color_id,x_pixel,y_pixel,x_norm,y_norm,x_math,y_math
1,green,1,121.01,94.96,0.255835,0.143228,121.01,568.04
2,green,2,69.09,96.07,0.146068,0.144902,69.09,566.93
3,green,3,59.42,106.6,0.125624,0.160784,59.42,556.4
4,green,4,86.5,112.5,0.182875,0.169683,86.5,550.5
5,green,5,326.64,120.47,0.690571,0.181704,326.64,542.53
6,green,6,168.04,126.47,0.355264,0.190754,168.04,536.53
7,green,7,350.91,144.04,0.741882,0.217255,350.91,518.96
8,green,8,131.63,156.57,0.278288,0.236154,131.63,506.43
9,green,9,149.24,156.77,0.315518,0.236456,149.24,506.23
10,green,10,84.59,191.78,0.178837,0.289261,84.59,471.22
11,green,11,276.69,199.33,0.584968,0.300649,276.69,463.67
12,green,12,174.19,232.55,0.368266,0.350754,174.19,430.45
13,green,13,112.16,235.44,0.237125,0.355113,112.16,427.56
14,green,14,245.9,255.17,0.519873,0.384872,245.9,407.83
15,green,15,47.27,262.89,0.099937,0.396516,47.27,400.11
16,green,16,385.18,299.44,0.814334,0.451644,385.18,363.56
17,green,17,406.0,308.19,0.858351,0.464842,406.0,354.81
18,blue,1,244.58,319.68,0.517082,0.482172,244.58,343.32
19,green,18,380.77,327.46,0.805011,0.493906,380.77,335.54
20,green,19,401.52,327.54,0.848879,0.494027,401.52,335.46
21,green,20,298.11,333.75,0.630254,0.503394,298.11,329.25
22,green,21,407.78,343.63,0.862114,0.518296,407.78,319.37
23,green,22,330.93,343.96,0.699641,0.518793,330.93,319.04
24,green,23,363.45,348.27,0.768393,0.525294,363.45,314.73
25,green,24,172.08,363.79,0.363805,0.548703,172.08,299.21
26,green,25,234.8,400.59,0.496406,0.604208,234.8,262.41
27,green,26,183.0,440.77,0.386892,0.664811,183.0,222.23
28,green,27,119.25,501.18,0.252114,0.755928,119.25,161.82
29,green,28,97.95,510.59,0.207082,0.770121,97.95,152.41
30,green,29,79.64,521.9,0.168372,0.787179,79.64,141.1
31,green,30,190.24,531.57,0.402199,0.801765,190.24,131.43
32,green,31,106.0,540.08,0.224101,0.8146,106.0,122.92
33,green,32,67.0,548.9,0.141649,0.827903,67.0,114.1
34,green,33,361.1,549.57,0.763425,0.828914,361.1,113.43
35,green,34,77.96,566.91,0.16482,0.855068,77.96,96.09
36,green,35,112.1,568.88,0.236998,0.858039,112.1,94.12
