id,color,color_id,x_pixel,y_pixel,x_norm,y_norm,x_math,y_math
1,green,1,85.2,66.94,0.25509,0.142729,85.2,402.06
2,green,2,48.55,67.53,0.145359,0.143987,48.55,401.47
3,green,3,41.6,75.32,0.124551,0.160597,41.6,393.68
4,green,4,60.55,79.27,0.181287,0.169019,60.55,389.73
5,green,5,230.05,84.87,0.688772,0.180959,230.05,384.13
6,green,6,118.37,89.38,0.354401,0.190576,118.37,379.62
7,green,7,247.23,101.69,0.74021,0.216823,247.23,367.31
8,green,8,104.74,110.42,0.313593,0.235437,104.74,358.58
9,green,9,92.84,110.5,0.277964,0.235608,92.84,358.5
10,green,10,59.5,135.5,0.178144,0.288913,59.5,333.5
11,green,11,194.76,140.6,0.583114,0.299787,194.76,328.4
12,green,12,122.65,164.09,0.367216,0.349872,122.65,304.91
13,green,13,78.96,166.15,0.236407,0.354264,78.96,302.85
14,green,14,173.22,180.13,0.518623,0.384072,173.22,288.87
15,green,15,33.5,185.5,0.100299,0.395522,33.5,283.5
16,green,16,271.15,211.32,0.811826,0.450576,271.15,257.68
17,green,17,285.88,217.48,0.855928,0.46371,285.88,251.52
18,blue,1,172.25,225.62,0.515719,0.481066,172.25,243.38
19,green,18,268.11,231.28,0.802725,0.493134,268.11,237.72
20,green,19,282.76,231.4,0.846587,0.49339,282.76,237.6
21,green,20,209.87,235.62,0.628353,0.502388,209.87,233.38
22,green,21,287.34,242.4,0.860299,0.516844,287.34,226.6
23,green,22,232.95,242.91,0.697455,0.517932,232.95,226.09
24,green,23,255.98,245.94,0.766407,0.524392,255.98,223.06
25,green,24,121.11,256.72,0.362605,0.547377,121.11,212.28
26,green,25,165.22,282.91,0.494671,0.60322,165.22,186.09
27,green,26,128.89,311.28,0.385898,0.66371,128.89,157.72
28,green,27,83.89,353.72,0.251168,0.7542,83.89,115.28
29,green,28,68.72,360.54,0.205749,0.768742,68.72,108.46
30,green,29,56.14,368.43,0.168084,0.785565,56.14,100.57
31,green,30,133.77,375.31,0.400509,0.800235,133.77,93.69
32,green,31,74.5,381.5,0.223054,0.813433,74.5,87.5
33,green,32,47.18,387.53,0.141257,0.82629,47.18,81.47
34,green,33,254.3,387.95,0.761377,0.827186,254.3,81.05
35,green,34,54.69,400.23,0.163743,0.853369,54.69,68.77
36,green,35,78.85,401.67,0.236078,0.856439,78.85,67.33
