color,x_pixel,y_pixel,image_width,image_height
green,85.2,66.94,335,470
green,48.55,67.53,335,470
green,41.6,75.32,335,470
green,60.55,79.27,335,470
green,230.05,84.87,335,470
green,118.37,89.38,335,470
green,247.23,101.69,335,470
green,104.74,110.42,335,470
green,92.84,110.5,335,470
green,59.5,135.5,335,470
green,194.76,140.6,335,470
green,122.65,164.09,335,470
green,78.96,166.15,335,470
green,173.22,180.13,335,470
green,33.5,185.5,335,470
green,271.15,211.32,335,470
green,285.88,217.48,335,470
blue,172.25,225.62,335,470
green,268.11,231.28,335,470
green,282.76,231.4,335,470
green,209.87,235.62,335,470
green,287.34,242.4,335,470
green,232.95,242.91,335,470
green,255.98,245.94,335,470
green,121.11,256.72,335,470
green,165.22,282.91,335,470
green,128.89,311.28,335,470
green,83.89,353.72,335,470
green,68.72,360.54,335,470
green,56.14,368.43,335,470
green,133.77,375.31,335,470
green,74.5,381.5,335,470
green,47.18,387.53,335,470
green,254.3,387.95,335,470
green,54.69,400.23,335,470
green,78.85,401.67,335,470
